,co,no2,o3,pm10,pm25,so2,date,source,Lat,Long,value
0,5.0,14.0,29.0,25.0,72.0,2.0,2020-03-02,China,32.82838484848485,111.64908181818183,2428.3636363636365
1,4.0,6.0,25.0,15.0,80.0,1.0,2020-03-03,China,32.82838484848485,111.64908181818183,2432.151515151515
2,2.0,5.0,31.0,15.0,99.0,1.0,2020-03-04,China,32.82838484848485,111.64908181818183,2435.939393939394
3,4.0,12.0,35.0,44.0,47.0,2.0,2020-03-05,China,32.82838484848485,111.64908181818183,2440.5151515151515
4,7.0,23.0,27.0,67.0,110.0,3.0,2020-03-06,China,32.82838484848485,111.64908181818183,2445.151515151515
5,6.0,10.0,39.0,43.0,168.0,2.0,2020-03-07,China,32.82838484848485,111.64908181818183,2447.5757575757575
6,9.0,13.0,22.0,,135.0,1.0,2020-03-08,China,32.82838484848485,111.64908181818183,2449.181818181818
7,7.0,12.0,29.0,28.0,171.0,1.0,2020-03-09,China,32.82838484848485,111.64908181818183,2450.3030303030305
8,3.0,8.0,32.0,30.0,129.0,1.0,2020-03-10,China,32.82838484848485,111.64908181818183,2451.121212121212
9,5.0,23.0,27.0,45.0,52.0,2.0,2020-03-11,China,32.82838484848485,111.64908181818183,2452.151515151515
10,5.0,14.0,35.0,38.0,92.0,2.0,2020-03-12,China,32.82838484848485,111.64908181818183,2452.4848484848485
11,3.0,7.0,33.0,22.0,74.0,1.0,2020-03-13,China,32.82838484848485,111.64908181818183,2452.878787878788
12,2.0,5.0,35.0,35.0,42.0,1.0,2020-03-14,China,32.82838484848485,111.64908181818183,2453.848484848485
13,2.0,5.0,38.0,32.0,36.0,1.0,2020-03-15,China,32.82838484848485,111.64908181818183,2454.6363636363635
14,4.0,10.0,33.0,60.0,34.0,1.0,2020-03-16,China,32.82838484848485,111.64908181818183,2455.5454545454545
15,5.0,18.0,42.0,55.0,87.0,2.0,2020-03-17,China,32.82838484848485,111.64908181818183,2456.3030303030305
16,6.0,18.0,35.0,108.0,100.0,2.0,2020-03-18,China,32.82838484848485,111.64908181818183,2457.6363636363635
17,2.0,4.0,38.0,47.0,119.0,1.0,2020-03-19,China,32.82838484848485,111.64908181818183,2459.2727272727275
18,4.0,17.0,35.0,60.0,39.0,2.0,2020-03-20,China,32.82838484848485,111.64908181818183,2462.121212121212
19,4.0,11.0,38.0,73.0,94.0,4.0,2020-03-21,China,32.82838484848485,111.64908181818183,2463.787878787879
20,3.0,10.0,48.0,60.0,86.0,2.0,2020-03-22,China,32.82838484848485,111.64908181818183,2467.7272727272725
21,4.0,17.0,37.0,58.0,98.0,2.0,2020-03-23,China,32.82838484848485,111.64908181818183,2469.6363636363635
22,9.0,19.0,41.0,57.0,103.0,7.0,2020-03-24,China,32.82838484848485,111.64908181818183,2472.4545454545455
23,9.0,28.0,55.0,73.0,121.0,6.0,2020-03-25,China,32.82838484848485,111.64908181818183,2474.5757575757575
24,3.0,5.0,34.0,25.0,196.0,1.0,2020-03-26,China,32.82838484848485,111.64908181818183,2478.242424242424
25,2.0,5.0,32.0,25.0,44.0,1.0,2020-03-27,China,32.82838484848485,111.64908181818183,2481.7272727272725
26,,,,,27.0,,2020-03-28,China,,,
27,3.0,5.0,28.0,25.0,30.0,1.0,2020-02-02,China,32.82838484848485,111.64908181818183,503.93939393939394
28,2.0,6.0,29.0,24.0,85.0,1.0,2020-02-03,China,32.82838484848485,111.64908181818183,597.4545454545455
29,2.0,6.0,29.0,19.0,79.0,1.0,2020-02-04,China,32.82838484848485,111.64908181818183,718.3939393939394
30,6.0,10.0,19.0,33.0,38.0,1.0,2020-02-05,China,32.82838484848485,111.64908181818183,831.5151515151515
31,10.0,10.0,17.0,31.0,87.0,2.0,2020-02-06,China,32.82838484848485,111.64908181818183,926.8787878787879
32,10.0,16.0,18.0,2.0,119.0,2.0,2020-02-07,China,32.82838484848485,111.64908181818183,1033.6363636363637
33,9.0,17.0,31.0,24.0,160.0,3.0,2020-02-08,China,32.82838484848485,111.64908181818183,1115.5757575757575
34,13.0,23.0,23.0,,127.0,1.0,2020-02-09,China,32.82838484848485,111.64908181818183,1206.939393939394
35,13.0,25.0,35.0,,193.0,2.0,2020-02-10,China,32.82838484848485,111.64908181818183,1283.4545454545455
36,23.0,28.0,41.0,,195.0,5.0,2020-02-11,China,32.82838484848485,111.64908181818183,1345.030303030303
37,23.0,27.0,50.0,,244.0,3.0,2020-02-12,China,32.82838484848485,111.64908181818183,1356.3333333333333
38,21.0,27.0,19.0,,253.0,2.0,2020-02-13,China,32.82838484848485,111.64908181818183,1815.0
39,9.0,8.0,26.0,,261.0,1.0,2020-02-14,China,32.82838484848485,111.64908181818183,2010.8484848484848
40,2.0,2.0,30.0,11.0,112.0,1.0,2020-02-15,China,32.82838484848485,111.64908181818183,2073.121212121212
41,2.0,2.0,32.0,7.0,29.0,1.0,2020-02-16,China,32.82838484848485,111.64908181818183,2136.757575757576
42,2.0,5.0,31.0,12.0,18.0,1.0,2020-02-17,China,32.82838484848485,111.64908181818183,2194.969696969697
43,3.0,17.0,29.0,21.0,27.0,1.0,2020-02-18,China,32.82838484848485,111.64908181818183,2248.818181818182
44,10.0,20.0,29.0,32.0,55.0,5.0,2020-02-19,China,32.82838484848485,111.64908181818183,2261.181818181818
45,11.0,13.0,29.0,,126.0,4.0,2020-02-20,China,32.82838484848485,111.64908181818183,2275.060606060606
46,7.0,12.0,33.0,84.0,176.0,1.0,2020-02-21,China,32.82838484848485,111.64908181818183,2289.3939393939395
47,2.0,5.0,35.0,14.0,135.0,,2020-02-22,China,32.82838484848485,111.64908181818183,2333.3636363636365
48,5.0,19.0,24.0,47.0,25.0,2.0,2020-02-23,China,32.82838484848485,111.64908181818183,2334.0
49,9.0,18.0,25.0,73.0,110.0,5.0,2020-02-24,China,32.82838484848485,111.64908181818183,2340.6363636363635
50,8.0,11.0,30.0,60.0,150.0,5.0,2020-02-25,China,32.82838484848485,111.64908181818183,2356.181818181818
51,4.0,8.0,37.0,36.0,127.0,3.0,2020-02-26,China,32.82838484848485,111.64908181818183,2368.6666666666665
52,4.0,11.0,26.0,31.0,94.0,1.0,2020-02-27,China,32.82838484848485,111.64908181818183,2381.818181818182
53,5.0,12.0,35.0,45.0,79.0,1.0,2020-02-28,China,32.82838484848485,111.64908181818183,2391.757575757576
54,12.0,15.0,11.0,,138.0,1.0,2020-02-29,China,32.82838484848485,111.64908181818183,2404.7272727272725
55,10.0,10.0,31.0,16.0,167.0,1.0,2020-03-01,China,32.82838484848485,111.64908181818183,2422.181818181818
56,11.0,31.0,5.0,64.0,93.0,4.0,2020-01-02,China,,,
57,11.0,33.0,9.0,51.0,132.0,4.0,2020-01-03,China,,,
58,9.0,27.0,23.0,45.0,124.0,4.0,2020-01-04,China,,,
59,13.0,32.0,5.0,63.0,98.0,5.0,2020-01-05,China,,,
60,9.0,25.0,12.0,21.0,152.0,2.0,2020-01-06,China,,,
61,3.0,11.0,24.0,19.0,149.0,2.0,2020-01-07,China,,,
62,4.0,14.0,28.0,24.0,57.0,1.0,2020-01-08,China,,,
63,6.0,25.0,16.0,32.0,63.0,3.0,2020-01-09,China,,,
64,5.0,19.0,27.0,33.0,127.0,4.0,2020-01-10,China,,,
65,3.0,12.0,23.0,20.0,83.0,1.0,2020-01-11,China,,,
66,4.0,17.0,21.0,27.0,47.0,4.0,2020-01-12,China,,,
67,4.0,8.0,27.0,22.0,67.0,2.0,2020-01-13,China,,,
68,3.0,15.0,23.0,26.0,51.0,2.0,2020-01-14,China,,,
69,8.0,29.0,12.0,54.0,62.0,4.0,2020-01-15,China,,,
70,9.0,24.0,25.0,48.0,127.0,5.0,2020-01-16,China,,,
71,15.0,34.0,10.0,73.0,107.0,8.0,2020-01-17,China,,,
72,21.0,34.0,9.0,119.0,165.0,3.0,2020-01-18,China,,,
73,5.0,11.0,28.0,58.0,251.0,1.0,2020-01-19,China,,,
74,3.0,8.0,25.0,26.0,94.0,1.0,2020-01-20,China,,,
75,8.0,21.0,20.0,54.0,40.0,4.0,2020-01-21,China,,,
76,11.0,26.0,17.0,60.0,132.0,5.0,2020-01-22,China,32.82838484848485,111.64908181818183,16.606060606060606
77,9.0,18.0,31.0,51.0,158.0,4.0,2020-01-23,China,32.82838484848485,111.64908181818183,19.484848484848484
78,6.0,8.0,33.0,62.0,126.0,3.0,2020-01-24,China,32.82838484848485,111.64908181818183,27.87878787878788
79,8.0,14.0,31.0,99.0,154.0,5.0,2020-01-25,China,32.82838484848485,111.64908181818183,42.60606060606061
80,16.0,21.0,31.0,108.0,206.0,7.0,2020-01-26,China,32.82838484848485,111.64908181818183,62.878787878787875
81,19.0,21.0,33.0,,231.0,8.0,2020-01-27,China,32.82838484848485,111.64908181818183,87.18181818181819
82,20.0,21.0,48.0,,235.0,8.0,2020-01-28,China,32.82838484848485,111.64908181818183,166.93939393939394
83,12.0,17.0,34.0,38.0,245.0,5.0,2020-01-29,China,32.82838484848485,111.64908181818183,184.45454545454547
84,8.0,15.0,35.0,50.0,154.0,3.0,2020-01-30,China,32.82838484848485,111.64908181818183,246.6969696969697
85,9.0,17.0,33.0,41.0,133.0,3.0,2020-01-31,China,32.82838484848485,111.64908181818183,297.030303030303
86,3.0,4.0,32.0,14.0,120.0,1.0,2020-02-01,China,32.82838484848485,111.64908181818183,360.3333333333333
87,9.0,11.0,82.0,60.0,128.0,2.0,2019-10-02,China,,,
88,8.0,14.0,116.0,69.0,140.0,1.0,2019-10-03,China,,,
89,4.0,6.0,25.0,29.0,148.0,1.0,2019-10-04,China,,,
90,2.0,8.0,30.0,16.0,46.0,1.0,2019-10-05,China,,,
91,4.0,18.0,20.0,37.0,31.0,1.0,2019-10-06,China,,,
92,6.0,18.0,31.0,54.0,80.0,1.0,2019-10-07,China,,,
93,2.0,10.0,27.0,25.0,127.0,1.0,2019-10-08,China,,,
94,5.0,21.0,36.0,55.0,34.0,3.0,2019-10-09,China,,,
95,5.0,15.0,24.0,46.0,94.0,1.0,2019-10-10,China,,,
96,7.0,21.0,17.0,50.0,131.0,3.0,2019-10-11,China,,,
97,14.0,27.0,7.0,63.0,114.0,12.0,2019-10-12,China,,,
98,9.0,21.0,9.0,49.0,95.0,4.0,2019-10-13,China,,,
99,3.0,12.0,23.0,19.0,80.0,1.0,2019-10-14,China,,,
100,4.0,18.0,19.0,33.0,42.0,1.0,2019-10-15,China,,,
101,5.0,21.0,14.0,40.0,66.0,1.0,2019-10-16,China,,,
102,8.0,25.0,3.0,52.0,89.0,1.0,2019-10-17,China,,,
103,8.0,20.0,26.0,,154.0,1.0,2019-10-18,China,,,
104,13.0,33.0,16.0,67.0,156.0,2.0,2019-10-19,China,,,
105,8.0,23.0,25.0,100.0,201.0,1.0,2019-10-20,China,,,
106,5.0,21.0,18.0,46.0,154.0,1.0,2019-10-21,China,,,
107,10.0,33.0,19.0,82.0,63.0,2.0,2019-10-22,China,,,
108,11.0,37.0,39.0,93.0,124.0,2.0,2019-10-23,China,,,
109,13.0,33.0,17.0,75.0,166.0,1.0,2019-10-24,China,,,
110,4.0,11.0,22.0,19.0,163.0,1.0,2019-10-25,China,,,
111,6.0,23.0,16.0,50.0,71.0,2.0,2019-10-26,China,,,
112,8.0,28.0,17.0,69.0,98.0,2.0,2019-10-27,China,,,
113,3.0,12.0,25.0,148.0,145.0,1.0,2019-10-28,China,,,
114,6.0,26.0,21.0,71.0,90.0,3.0,2019-10-29,China,,,
115,9.0,37.0,10.0,86.0,104.0,3.0,2019-10-30,China,,,
116,12.0,33.0,31.0,72.0,153.0,2.0,2019-10-31,China,,,
117,8.0,25.0,18.0,59.0,121.0,4.0,2019-11-01,China,,,
118,6.0,25.0,10.0,46.0,90.0,1.0,2019-11-02,China,,,
119,5.0,16.0,14.0,48.0,82.0,3.0,2019-11-03,China,,,
120,9.0,24.0,16.0,59.0,97.0,2.0,2019-11-04,China,,,
121,7.0,21.0,18.0,52.0,139.0,2.0,2019-11-05,China,,,
122,7.0,30.0,10.0,62.0,118.0,2.0,2019-11-06,China,,,
123,5.0,18.0,18.0,44.0,119.0,2.0,2019-11-07,China,,,
124,8.0,29.0,11.0,66.0,82.0,2.0,2019-11-08,China,,,
125,11.0,34.0,13.0,71.0,121.0,2.0,2019-11-09,China,,,
126,5.0,12.0,25.0,77.0,162.0,1.0,2019-11-10,China,,,
127,5.0,20.0,22.0,49.0,99.0,1.0,2019-11-11,China,,,
128,9.0,36.0,8.0,73.0,69.0,4.0,2019-11-12,China,,,
129,2.0,6.0,25.0,52.0,143.0,1.0,2019-11-13,China,,,
130,7.0,25.0,11.0,53.0,47.0,4.0,2019-11-14,China,,,
131,8.0,23.0,10.0,62.0,87.0,3.0,2019-11-15,China,,,
132,13.0,24.0,6.0,67.0,101.0,6.0,2019-11-16,China,,,
133,9.0,17.0,22.0,142.0,135.0,4.0,2019-11-17,China,,,
134,3.0,8.0,22.0,76.0,139.0,1.0,2019-11-18,China,,,
135,4.0,13.0,23.0,51.0,71.0,1.0,2019-11-19,China,,,
136,10.0,36.0,5.0,91.0,71.0,6.0,2019-11-20,China,,,
137,16.0,38.0,2.0,109.0,156.0,7.0,2019-11-21,China,,,
138,24.0,45.0,2.0,117.0,173.0,7.0,2019-11-22,China,,,
139,17.0,35.0,16.0,103.0,198.0,5.0,2019-11-23,China,,,
140,3.0,5.0,26.0,30.0,197.0,1.0,2019-11-24,China,,,
141,4.0,14.0,13.0,28.0,42.0,2.0,2019-11-25,China,,,
142,8.0,30.0,4.0,66.0,55.0,4.0,2019-11-26,China,,,
143,3.0,14.0,22.0,23.0,125.0,2.0,2019-11-27,China,,,
144,9.0,30.0,5.0,67.0,36.0,8.0,2019-11-28,China,,,
145,10.0,30.0,4.0,65.0,125.0,5.0,2019-11-29,China,,,
146,6.0,15.0,24.0,22.0,143.0,2.0,2019-11-30,China,,,
147,3.0,8.0,24.0,29.0,121.0,2.0,2019-12-01,China,,,
148,3.0,11.0,22.0,24.0,52.0,1.0,2019-12-02,China,,,
149,5.0,21.0,27.0,42.0,43.0,2.0,2019-12-03,China,,,
150,3.0,18.0,27.0,31.0,63.0,2.0,2019-12-04,China,,,
151,7.0,20.0,24.0,38.0,53.0,3.0,2019-12-05,China,,,
152,9.0,29.0,9.0,64.0,76.0,3.0,2019-12-06,China,,,
153,8.0,30.0,12.0,60.0,131.0,3.0,2019-12-07,China,,,
154,16.0,37.0,2.0,104.0,137.0,2.0,2019-12-08,China,,,
155,19.0,41.0,4.0,125.0,212.0,1.0,2019-12-09,China,,,
156,15.0,26.0,23.0,90.0,237.0,1.0,2019-12-10,China,,,
157,3.0,13.0,23.0,18.0,154.0,1.0,2019-12-11,China,,,
158,7.0,22.0,16.0,35.0,37.0,1.0,2019-12-12,China,,,
159,9.0,20.0,25.0,47.0,65.0,3.0,2019-12-13,China,,,
160,4.0,23.0,17.0,26.0,82.0,2.0,2019-12-14,China,,,
161,13.0,33.0,3.0,66.0,61.0,6.0,2019-12-15,China,,,
162,13.0,32.0,1.0,60.0,145.0,1.0,2019-12-16,China,,,
163,3.0,6.0,23.0,19.0,160.0,1.0,2019-12-17,China,,,
164,5.0,19.0,16.0,27.0,45.0,1.0,2019-12-18,China,,,
165,4.0,10.0,22.0,26.0,64.0,1.0,2019-12-19,China,,,
166,5.0,26.0,13.0,35.0,52.0,1.0,2019-12-20,China,,,
167,9.0,30.0,7.0,56.0,64.0,3.0,2019-12-21,China,,,
168,13.0,36.0,7.0,69.0,130.0,5.0,2019-12-22,China,,,
169,10.0,20.0,18.0,47.0,157.0,3.0,2019-12-23,China,,,
170,12.0,25.0,9.0,65.0,108.0,2.0,2019-12-24,China,,,
171,10.0,20.0,20.0,51.0,164.0,2.0,2019-12-25,China,,,
172,3.0,14.0,21.0,42.0,128.0,1.0,2019-12-26,China,,,
173,9.0,32.0,6.0,73.0,61.0,2.0,2019-12-27,China,,,
174,15.0,34.0,4.0,85.0,117.0,6.0,2019-12-28,China,,,
175,15.0,31.0,20.0,82.0,152.0,4.0,2019-12-29,China,,,
176,,,,,156.0,,2019-12-30,China,,,
177,6.0,16.0,75.0,60.0,34.0,1.0,2019-07-02,China,,,
178,5.0,15.0,99.0,39.0,83.0,1.0,2019-07-03,China,,,
179,6.0,23.0,124.0,64.0,87.0,2.0,2019-07-04,China,,,
180,6.0,18.0,68.0,54.0,116.0,1.0,2019-07-05,China,,,
181,3.0,8.0,28.0,15.0,95.0,1.0,2019-07-06,China,,,
182,5.0,8.0,52.0,21.0,34.0,,2019-07-07,China,,,
183,5.0,13.0,82.0,34.0,53.0,,2019-07-08,China,,,
184,6.0,22.0,39.0,50.0,86.0,,2019-07-09,China,,,
185,9.0,13.0,73.0,50.0,99.0,2.0,2019-07-10,China,,,
186,4.0,10.0,78.0,37.0,153.0,1.0,2019-07-11,China,,,
187,5.0,14.0,113.0,45.0,87.0,1.0,2019-07-12,China,,,
188,10.0,19.0,113.0,73.0,78.0,2.0,2019-07-13,China,,,
189,5.0,8.0,96.0,33.0,154.0,1.0,2019-07-14,China,,,
190,9.0,13.0,120.0,64.0,61.0,1.0,2019-07-15,China,,,
191,8.0,14.0,82.0,49.0,149.0,2.0,2019-07-16,China,,,
192,7.0,17.0,29.0,42.0,102.0,,2019-07-17,China,,,
193,10.0,13.0,102.0,64.0,137.0,1.0,2019-07-18,China,,,
194,8.0,14.0,62.0,59.0,157.0,1.0,2019-07-19,China,,,
195,6.0,15.0,38.0,56.0,143.0,1.0,2019-07-20,China,,,
196,8.0,13.0,117.0,65.0,139.0,,2019-07-21,China,,,
197,11.0,25.0,51.0,90.0,153.0,1.0,2019-07-22,China,,,
198,5.0,9.0,85.0,38.0,168.0,1.0,2019-07-23,China,,,
199,7.0,15.0,104.0,60.0,86.0,1.0,2019-07-24,China,,,
200,5.0,17.0,106.0,53.0,89.0,1.0,2019-07-25,China,,,
201,7.0,11.0,123.0,58.0,70.0,1.0,2019-07-26,China,,,
202,8.0,14.0,124.0,75.0,103.0,2.0,2019-07-27,China,,,
203,8.0,7.0,94.0,53.0,163.0,1.0,2019-07-28,China,,,
204,5.0,10.0,40.0,15.0,137.0,1.0,2019-07-29,China,,,
205,6.0,10.0,90.0,44.0,51.0,1.0,2019-07-30,China,,,
206,5.0,14.0,115.0,42.0,91.0,1.0,2019-07-31,China,,,
207,6.0,10.0,117.0,54.0,72.0,1.0,2019-08-01,China,,,
208,8.0,11.0,73.0,44.0,84.0,1.0,2019-08-02,China,,,
209,7.0,14.0,97.0,44.0,94.0,1.0,2019-08-03,China,,,
210,8.0,15.0,56.0,48.0,112.0,1.0,2019-08-04,China,,,
211,7.0,11.0,45.0,36.0,115.0,1.0,2019-08-05,China,,,
212,7.0,14.0,72.0,53.0,107.0,1.0,2019-08-06,China,,,
213,5.0,11.0,88.0,32.0,132.0,1.0,2019-08-07,China,,,
214,7.0,18.0,99.0,50.0,72.0,1.0,2019-08-08,China,,,
215,6.0,10.0,66.0,49.0,110.0,1.0,2019-08-09,China,,,
216,6.0,13.0,52.0,29.0,118.0,1.0,2019-08-10,China,,,
217,5.0,12.0,17.0,22.0,82.0,1.0,2019-08-11,China,,,
218,4.0,8.0,33.0,22.0,56.0,1.0,2019-08-12,China,,,
219,4.0,9.0,36.0,19.0,32.0,,2019-08-13,China,,,
220,5.0,15.0,40.0,31.0,26.0,1.0,2019-08-14,China,,,
221,5.0,18.0,97.0,46.0,82.0,1.0,2019-08-15,China,,,
222,3.0,7.0,36.0,22.0,63.0,1.0,2019-08-16,China,,,
223,3.0,12.0,36.0,26.0,30.0,1.0,2019-08-17,China,,,
224,5.0,17.0,79.0,47.0,38.0,1.0,2019-08-18,China,,,
225,7.0,18.0,106.0,68.0,59.0,1.0,2019-08-19,China,,,
226,8.0,16.0,46.0,59.0,110.0,2.0,2019-08-20,China,,,
227,5.0,13.0,45.0,29.0,125.0,1.0,2019-08-21,China,,,
228,5.0,19.0,36.0,34.0,94.0,1.0,2019-08-22,China,,,
229,4.0,17.0,37.0,32.0,58.0,1.0,2019-08-23,China,,,
230,5.0,17.0,79.0,46.0,45.0,1.0,2019-08-24,China,,,
231,6.0,16.0,74.0,48.0,61.0,1.0,2019-08-25,China,,,
232,8.0,18.0,58.0,74.0,81.0,1.0,2019-08-26,China,,,
233,5.0,18.0,42.0,42.0,165.0,1.0,2019-08-27,China,,,
234,2.0,8.0,29.0,24.0,81.0,1.0,2019-08-28,China,,,
235,2.0,6.0,32.0,15.0,19.0,1.0,2019-08-29,China,,,
236,2.0,11.0,42.0,22.0,17.0,1.0,2019-08-30,China,,,
237,3.0,13.0,78.0,37.0,30.0,1.0,2019-08-31,China,,,
238,4.0,16.0,85.0,48.0,51.0,1.0,2019-09-01,China,,,
239,4.0,16.0,105.0,54.0,68.0,1.0,2019-09-02,China,,,
240,7.0,22.0,127.0,69.0,80.0,2.0,2019-09-03,China,,,
241,8.0,24.0,111.0,64.0,136.0,2.0,2019-09-04,China,,,
242,6.0,18.0,113.0,62.0,137.0,1.0,2019-09-05,China,,,
243,7.0,22.0,131.0,69.0,119.0,1.0,2019-09-06,China,,,
244,6.0,24.0,119.0,66.0,135.0,1.0,2019-09-07,China,,,
245,6.0,20.0,111.0,61.0,125.0,1.0,2019-09-08,China,,,
246,15.0,17.0,119.0,88.0,106.0,5.0,2019-09-09,China,,,
247,4.0,10.0,30.0,16.0,160.0,,2019-09-10,China,,,
248,8.0,18.0,21.0,32.0,40.0,5.0,2019-09-11,China,,,
249,5.0,12.0,33.0,33.0,67.0,1.0,2019-09-12,China,,,
250,4.0,11.0,33.0,37.0,70.0,1.0,2019-09-13,China,,,
251,4.0,15.0,49.0,30.0,80.0,1.0,2019-09-14,China,,,
252,5.0,20.0,70.0,55.0,53.0,1.0,2019-09-15,China,,,
253,5.0,16.0,55.0,47.0,101.0,2.0,2019-09-16,China,,,
254,6.0,14.0,75.0,56.0,69.0,2.0,2019-09-17,China,,,
255,2.0,10.0,39.0,26.0,129.0,1.0,2019-09-18,China,,,
256,6.0,22.0,46.0,60.0,30.0,2.0,2019-09-19,China,,,
257,7.0,21.0,65.0,64.0,85.0,1.0,2019-09-20,China,,,
258,12.0,24.0,104.0,74.0,111.0,4.0,2019-09-21,China,,,
259,12.0,16.0,101.0,64.0,143.0,3.0,2019-09-22,China,,,
260,7.0,19.0,49.0,48.0,159.0,2.0,2019-09-23,China,,,
261,4.0,16.0,54.0,31.0,94.0,1.0,2019-09-24,China,,,
262,7.0,21.0,81.0,48.0,51.0,1.0,2019-09-25,China,,,
263,7.0,23.0,96.0,57.0,79.0,1.0,2019-09-26,China,,,
264,9.0,15.0,80.0,51.0,112.0,2.0,2019-09-27,China,,,
265,8.0,17.0,99.0,63.0,131.0,2.0,2019-09-28,China,,,
266,9.0,20.0,102.0,67.0,150.0,1.0,2019-09-29,China,,,
267,10.0,21.0,71.0,79.0,182.0,2.0,2019-09-30,China,,,
268,8.0,11.0,,65.0,160.0,2.0,2019-10-01,China,,,
269,7.0,19.0,37.0,53.0,52.0,4.0,2019-04-02,China,,,
270,6.0,25.0,59.0,69.0,94.0,5.0,2019-04-03,China,,,
271,6.0,27.0,60.0,95.0,142.0,5.0,2019-04-04,China,,,
272,3.0,13.0,36.0,248.0,149.0,1.0,2019-04-05,China,,,
273,6.0,19.0,37.0,135.0,108.0,3.0,2019-04-06,China,,,
274,6.0,20.0,36.0,75.0,123.0,4.0,2019-04-07,China,,,
275,9.0,18.0,33.0,61.0,132.0,6.0,2019-04-08,China,,,
276,5.0,10.0,28.0,31.0,104.0,1.0,2019-04-09,China,,,
277,4.0,15.0,38.0,28.0,82.0,1.0,2019-04-10,China,,,
278,4.0,16.0,47.0,58.0,88.0,1.0,2019-04-11,China,,,
279,5.0,20.0,49.0,67.0,138.0,2.0,2019-04-12,China,,,
280,5.0,19.0,37.0,72.0,151.0,2.0,2019-04-13,China,,,
281,2.0,10.0,41.0,54.0,163.0,1.0,2019-04-14,China,,,
282,4.0,20.0,49.0,74.0,70.0,3.0,2019-04-15,China,,,
283,6.0,18.0,78.0,81.0,133.0,4.0,2019-04-16,China,,,
284,10.0,28.0,94.0,91.0,160.0,5.0,2019-04-17,China,,,
285,5.0,10.0,42.0,141.0,183.0,1.0,2019-04-18,China,,,
286,4.0,12.0,33.0,62.0,121.0,2.0,2019-04-19,China,,,
287,5.0,23.0,17.0,54.0,83.0,1.0,2019-04-20,China,,,
288,9.0,22.0,44.0,109.0,122.0,3.0,2019-04-21,China,,,
289,9.0,23.0,95.0,84.0,156.0,2.0,2019-04-22,China,,,
290,7.0,12.0,40.0,60.0,176.0,1.0,2019-04-23,China,,,
291,7.0,14.0,24.0,27.0,168.0,1.0,2019-04-24,China,,,
292,2.0,7.0,41.0,25.0,104.0,1.0,2019-04-25,China,,,
293,3.0,8.0,47.0,45.0,71.0,1.0,2019-04-26,China,,,
294,4.0,12.0,35.0,44.0,109.0,1.0,2019-04-27,China,,,
295,5.0,10.0,40.0,50.0,110.0,1.0,2019-04-28,China,,,
296,8.0,16.0,67.0,61.0,135.0,1.0,2019-04-29,China,,,
297,4.0,13.0,40.0,80.0,180.0,1.0,2019-04-30,China,,,
298,2.0,12.0,48.0,38.0,167.0,1.0,2019-05-01,China,,,
299,3.0,19.0,66.0,57.0,145.0,1.0,2019-05-02,China,,,
300,6.0,20.0,89.0,73.0,214.0,4.0,2019-05-03,China,,,
301,5.0,13.0,101.0,67.0,161.0,4.0,2019-05-04,China,,,
302,2.0,7.0,40.0,47.0,145.0,1.0,2019-05-05,China,,,
303,3.0,13.0,47.0,36.0,78.0,1.0,2019-05-06,China,,,
304,3.0,16.0,53.0,50.0,79.0,1.0,2019-05-07,China,,,
305,5.0,20.0,47.0,66.0,98.0,3.0,2019-05-08,China,,,
306,5.0,22.0,64.0,61.0,132.0,1.0,2019-05-09,China,,,
307,9.0,22.0,96.0,76.0,115.0,3.0,2019-05-10,China,,,
308,9.0,20.0,105.0,74.0,140.0,4.0,2019-05-11,China,,,
309,11.0,14.0,44.0,181.0,162.0,3.0,2019-05-12,China,,,
310,3.0,8.0,45.0,58.0,181.0,1.0,2019-05-13,China,,,
311,6.0,22.0,86.0,86.0,86.0,3.0,2019-05-14,China,,,
312,10.0,24.0,107.0,137.0,141.0,6.0,2019-05-15,China,,,
313,6.0,21.0,87.0,95.0,175.0,2.0,2019-05-16,China,,,
314,8.0,18.0,88.0,85.0,155.0,1.0,2019-05-17,China,,,
315,6.0,13.0,40.0,42.0,162.0,1.0,2019-05-18,China,,,
316,3.0,8.0,32.0,66.0,106.0,1.0,2019-05-19,China,,,
317,3.0,7.0,38.0,39.0,88.0,,2019-05-20,China,,,
318,4.0,19.0,51.0,31.0,65.0,1.0,2019-05-21,China,,,
319,7.0,31.0,75.0,54.0,80.0,1.0,2019-05-22,China,,,
320,5.0,23.0,135.0,59.0,106.0,2.0,2019-05-23,China,,,
321,5.0,32.0,94.0,87.0,107.0,3.0,2019-05-24,China,,,
322,5.0,23.0,123.0,82.0,135.0,3.0,2019-05-25,China,,,
323,8.0,13.0,41.0,59.0,149.0,3.0,2019-05-26,China,,,
324,2.0,6.0,39.0,16.0,104.0,1.0,2019-05-27,China,,,
325,3.0,16.0,63.0,33.0,41.0,1.0,2019-05-28,China,,,
326,4.0,19.0,114.0,47.0,61.0,2.0,2019-05-29,China,,,
327,4.0,12.0,57.0,49.0,92.0,2.0,2019-05-30,China,,,
328,2.0,13.0,48.0,35.0,90.0,1.0,2019-05-31,China,,,
329,5.0,20.0,83.0,65.0,68.0,2.0,2019-06-01,China,,,
330,7.0,21.0,104.0,65.0,112.0,2.0,2019-06-02,China,,,
331,6.0,15.0,100.0,51.0,133.0,1.0,2019-06-03,China,,,
332,12.0,13.0,74.0,61.0,104.0,5.0,2019-06-04,China,,,
